index;hl3_0;hl3_1;hl3_2;hl3_3;hl3_4;hl3_5;hl3_6;hl3_7;hl3_8;hl3_9;hl3_10
hl4_0;1000;33.5;36.7;38.9;39.6;47;1000;1000;1000;1000;1000
hl4_1;1000;33.3;36.5;38.9;39.6;47;1000;1000;1000;1000;1000
hl4_2;1000;33.1;36.5;38.9;39.6;47;1000;1000;1000;1000;1000
hl4_3;1000;33.1;36.3;38.7;39.6;47;1000;1000;1000;1000;1000
hl4_4;1000;33.1;36.3;38.7;39.4;46.9;1000;1000;1000;1000;1000
hl4_5;1000;32.9;36.1;38.5;39.4;46.9;1000;1000;1000;1000;1000
hl4_6;1000;32.9;36.1;38.5;39.2;46.8;1000;1000;1000;1000;1000
hl4_7;1000;32.9;35.9;38.4;39.2;46.8;1000;1000;1000;1000;1000
hl4_8;1000;32.8;35.8;38.4;39;46.8;1000;1000;1000;1000;1000
hl4_9;1000;32.8;35.8;38.2;39;1000;1000;1000;1000;1000;1000
hl4_10;1000;32.7;1000;1000;1000;1000;1000;1000;1000;1000;1000
